                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2182,                 1.0657,                 1.3418,                0.67528,                0.62357,                0.67435,                0.41036,                  1.305,                 1.1576,                 1.4573,              0.0011438,              0.0011438,              0.0011438
                     50,                 1.1844,                  1.036,                 1.3281,                0.67788,                0.63254,                0.67745,                0.40611,                 1.3292,                 1.1853,                 1.4741,              0.0011259,              0.0011259,              0.0011259
                     51,                 1.2117,                 1.0646,                 1.3388,                0.67216,                0.62892,                0.65479,                0.39842,                 1.3255,                 1.1725,                 1.4652,              0.0011081,              0.0011081,              0.0011081
                     52,                 1.1827,                 1.0432,                 1.3346,                0.68494,                0.63034,                0.68148,                0.41049,                 1.3369,                 1.1568,                 1.4716,              0.0010903,              0.0010903,              0.0010903
                     53,                 1.1914,                 1.0454,                  1.333,                0.67037,                0.64031,                0.68261,                0.40959,                 1.3161,                 1.1503,                 1.4652,              0.0010724,              0.0010724,              0.0010724
                     54,                 1.1844,                 1.0364,                 1.3325,                0.65463,                0.65072,                0.67297,                0.40545,                 1.3229,                 1.1363,                 1.4782,              0.0010546,              0.0010546,              0.0010546
                     55,                 1.1875,                 1.0305,                 1.3198,                0.65392,                 0.6339,                0.65565,                0.39909,                  1.312,                 1.2057,                 1.4433,              0.0010368,              0.0010368,              0.0010368
                     56,                 1.1959,                  1.037,                 1.3237,                0.69908,                 0.6161,                0.66407,                0.39819,                 1.3128,                 1.2003,                 1.4515,              0.0010189,              0.0010189,              0.0010189
                     57,                 1.1816,                 1.0331,                 1.3209,                 0.6733,                0.61396,                0.66801,                 0.4023,                 1.3462,                 1.1605,                 1.4814,              0.0010011,              0.0010011,              0.0010011
                     58,                 1.1879,                 1.0139,                 1.3301,                0.67194,                0.62037,                0.66812,                0.40512,                 1.3246,                 1.1619,                  1.465,             0.00098324,             0.00098324,             0.00098324
                     59,                 1.1709,                 1.0157,                 1.3136,                0.68347,                0.60755,                0.66246,                  0.399,                 1.3226,                  1.174,                 1.4612,             0.00096541,             0.00096541,             0.00096541
                     60,                 1.1614,                 1.0088,                 1.3105,                0.66242,                 0.6339,                0.65255,                0.39893,                 1.3004,                 1.1682,                  1.442,             0.00094757,             0.00094757,             0.00094757
                     61,                 1.1683,                0.99618,                 1.3128,                0.68353,                 0.6453,                0.68676,                0.41571,                 1.3198,                 1.1078,                 1.4784,             0.00092973,             0.00092973,             0.00092973
                     62,                 1.1682,                0.99151,                 1.3177,                0.70018,                0.62541,                0.68976,                0.42143,                 1.3116,                 1.1291,                  1.451,             0.00091189,             0.00091189,             0.00091189
                     63,                 1.1649,                 1.0088,                 1.3011,                0.69207,                 0.6179,                 0.6738,                0.40965,                 1.3194,                 1.1416,                 1.4617,             0.00089405,             0.00089405,             0.00089405
                     64,                 1.1558,                0.99474,                 1.2927,                0.71066,                0.61182,                0.68299,                0.41457,                 1.3087,                 1.1183,                  1.457,             0.00087622,             0.00087622,             0.00087622
                     65,                 1.1424,                0.96917,                 1.2955,                0.67834,                0.64887,                0.68055,                 0.4198,                 1.2988,                 1.0973,                 1.4356,             0.00085838,             0.00085838,             0.00085838
                     66,                  1.152,                0.97295,                 1.2833,                0.68945,                0.62322,                 0.6834,                0.41567,                 1.3225,                 1.1256,                 1.4672,             0.00084054,             0.00084054,             0.00084054
                     67,                 1.1527,                0.96488,                 1.2944,                0.72736,                0.60424,                0.68942,                0.41438,                 1.3413,                 1.1249,                 1.4643,              0.0008227,              0.0008227,              0.0008227
                     68,                 1.1367,                0.96028,                 1.2875,                0.67351,                0.62446,                0.66752,                0.40618,                 1.3127,                 1.1429,                  1.457,             0.00080486,             0.00080486,             0.00080486
                     69,                 1.1374,                 0.9534,                 1.2867,                0.67676,                0.64316,                0.68474,                0.41718,                 1.3278,                 1.1114,                 1.4556,             0.00078703,             0.00078703,             0.00078703
                     70,                 1.1404,                0.95715,                 1.2932,                0.72131,                0.60897,                0.67876,                0.41196,                 1.3167,                 1.1294,                 1.4567,             0.00076919,             0.00076919,             0.00076919
                     71,                 1.1336,                0.94208,                 1.2884,                0.70955,                0.61944,                0.67821,                0.41444,                 1.3163,                 1.1182,                 1.4579,             0.00075135,             0.00075135,             0.00075135
                     72,                 1.1339,                0.93287,                 1.2915,                0.67147,                 0.6339,                0.67375,                0.40594,                 1.3507,                 1.1345,                 1.4802,             0.00073351,             0.00073351,             0.00073351
                     73,                 1.1228,                 0.9323,                 1.2798,                0.68236,                0.62734,                0.66875,                0.40743,                  1.316,                  1.123,                  1.448,             0.00071568,             0.00071568,             0.00071568
